games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
3,308,2021,25:06,3.0,6.67,2.0,4.0,0.0,0.67,1.0,1.33,2.33,1.0,0.33,0.67,0.67,2.67,8.0,0.45,0.5,0.0,308,Alfonzo,6.0,8.0,McKinnie,F,"{'id': 5, 'abbreviation': 'CHI', 'city': 'Chicago', 'conference': 'East', 'division': 'Central', 'full_name': 'Chicago Bulls', 'name': 'Bulls'}",215.0
32,309,2021,7:01,1.16,2.53,0.94,2.13,0.19,0.22,0.13,0.44,0.56,0.34,0.22,0.0,0.38,0.47,3.44,0.457,0.441,0.857,309,Ben,,,McLemore,G,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",
29,313,2021,24:04,3.76,9.28,1.69,4.9,0.93,1.28,0.93,3.1,4.03,2.76,1.69,0.66,1.55,1.72,10.14,0.405,0.345,0.73,313,De'Anthony,6.0,4.0,Melton,G,"{'id': 15, 'abbreviation': 'MEM', 'city': 'Memphis', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Memphis Grizzlies', 'name': 'Grizzlies'}",200.0
38,314,2021,14:51,2.16,5.39,0.68,2.58,0.95,1.16,0.5,3.53,4.03,0.76,0.68,0.53,0.84,0.92,5.95,0.4,0.265,0.818,314,Chimezie,6.0,10.0,Metu,F,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",225.0
21,315,2021,30:56,6.1,14.86,2.19,6.24,3.43,3.9,0.62,5.1,5.71,4.9,1.1,0.14,3.05,2.1,17.81,0.41,0.351,0.878,315,Khris,6.0,8.0,Middleton,F,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",222.0
1,316,2021,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,CJ,6.0,6.0,Miles,F-G,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",220.0
21,318,2021,11:10,1.29,3.62,0.29,1.19,0.57,0.81,1.19,2.48,3.67,1.0,0.24,0.33,0.48,2.1,3.43,0.355,0.24,0.706,318,Paul,6.0,8.0,Millsap,F,"{'id': 3, 'abbreviation': 'BKN', 'city': 'Brooklyn', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Brooklyn Nets', 'name': 'Nets'}",246.0
30,319,2021,30:09,4.87,11.0,3.17,7.37,0.73,0.83,0.3,1.77,2.07,2.47,0.6,0.27,1.07,1.33,13.63,0.442,0.43,0.88,319,Patty,6.0,0.0,Mills,G,"{'id': 3, 'abbreviation': 'BKN', 'city': 'Brooklyn', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Brooklyn Nets', 'name': 'Nets'}",180.0
26,320,2021,25:12,4.15,9.5,0.96,3.0,1.58,1.85,0.5,2.54,3.04,2.96,0.73,0.38,1.23,2.0,10.85,0.437,0.321,0.854,320,Shake,6.0,6.0,Milton,G,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",207.0
30,322,2021,32:12,9.13,20.27,3.1,9.3,3.17,3.67,0.87,2.87,3.73,4.97,1.6,0.2,2.97,2.37,24.53,0.451,0.333,0.864,322,Donovan,6.0,3.0,Mitchell,G,"{'id': 29, 'abbreviation': 'UTA', 'city': 'Utah', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Utah Jazz', 'name': 'Jazz'}",215.0
28,324,2021,23:46,3.64,8.14,1.71,4.75,0.71,0.89,0.39,2.36,2.75,2.21,0.71,0.25,1.29,1.46,9.71,0.447,0.361,0.8,324,Malik,6.0,3.0,Monk,G,"{'id': 14, 'abbreviation': 'LAL', 'city': 'Los Angeles', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Los Angeles Lakers', 'name': 'Lakers'}",200.0
1,326,2021,19:18,0.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,326,E'Twaun,6.0,4.0,Moore,G,"{'id': 22, 'abbreviation': 'ORL', 'city': 'Orlando', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Orlando Magic', 'name': 'Magic'}",191.0
6,327,2021,22:22,5.0,8.5,1.67,3.67,0.83,1.0,0.33,3.0,3.33,2.0,0.67,0.17,1.0,1.5,12.5,0.588,0.455,0.833,327,Jaylen,6.0,5.0,Morris,G,"{'id': 27, 'abbreviation': 'SAS', 'city': 'San Antonio', 'conference': 'West', 'division': 'Southwest', 'full_name': 'San Antonio Spurs', 'name': 'Spurs'}",185.0
13,328,2021,29:39,5.23,12.08,2.0,5.38,1.31,1.69,0.46,4.31,4.77,1.92,0.54,0.31,1.38,2.23,13.77,0.433,0.371,0.773,328,Marcus,6.0,9.0,Morris,F,"{'id': 13, 'abbreviation': 'LAC', 'city': 'LA', 'conference': 'West', 'division': 'Pacific', 'full_name': 'LA Clippers', 'name': 'Clippers'}",235.0
11,329,2021,18:54,3.0,6.91,0.73,2.27,0.73,0.82,1.18,1.55,2.73,1.27,0.45,0.18,1.09,2.27,7.45,0.434,0.32,0.889,329,Markieff,,,Morris,F,"{'id': 16, 'abbreviation': 'MIA', 'city': 'Miami', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Miami Heat', 'name': 'Heat'}",
30,330,2021,29:52,5.27,10.93,1.6,4.27,0.5,0.73,0.23,2.47,2.7,4.3,0.77,0.2,1.3,1.5,12.63,0.482,0.375,0.682,330,Monte,6.0,3.0,Morris,G,"{'id': 8, 'abbreviation': 'DEN', 'city': 'Denver', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Denver Nuggets', 'name': 'Nuggets'}",175.0
5,333,2021,23:01,4.4,9.0,1.0,3.0,0.4,0.4,0.6,2.2,2.8,7.2,0.6,0.2,2.2,1.6,10.2,0.489,0.333,1.0,333,Emmanuel,6.0,5.0,Mudiay,G,"{'id': 25, 'abbreviation': 'POR', 'city': 'Portland', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Portland Trail Blazers', 'name': 'Trail Blazers'}",200.0
31,334,2021,33:52,7.55,16.87,1.35,4.0,1.65,2.32,1.1,7.19,8.29,8.45,1.94,0.35,2.35,1.97,18.1,0.447,0.339,0.708,334,Dejounte,6.0,5.0,Murray,G,"{'id': 27, 'abbreviation': 'SAS', 'city': 'San Antonio', 'conference': 'West', 'division': 'Southwest', 'full_name': 'San Antonio Spurs', 'name': 'Spurs'}",170.0
